Nombre,Tipo,Precio,Temática,Autores,Tiempo de juego,Dificultad,Num. Jugadores,Idioma,Edad,URL,Descripción
Draftosaurus,Juegos de Tablero,"19,95 €",Dinosaurios,"Antoine Bauza, Corentin Lebrat, Ludovic Maublanc, Théo Rivière",15 min,Medio,"2, 3, 4, 5",Español,"de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años",https://zacatrus.es/draftosaurus.html,Administra tu parcela de dinosaurios en el parque temático que los científicos han conseguido crear una vez clonados estos saurios gigantes.Escoge el dinosaurio apropiado en cada momento para obtener el mayor número de puntos posible y pasa el resto a tus rivales.
Wingspan,Juegos de Tablero,"49,50 €",Animales,Elizabeth Hargrave,40 - 70 min,Medio,"1, 2, 3, 4, 5",Español,"de 10 a 14 años, de 14 a 18 años, más de 18 años",https://zacatrus.es/wingspan.html,"Wingspan es un juego basado en el coleccionismo de aves. En este juego cooperativo, seréis unos apasionados de las aves (investigadores, observadores de aves, ornitólogos y coleccionistas) que intentan descubrir y atraer a las más interesantes a vuestros aviarios."
Brass: Birmingham,Juegos de Tablero,"54,00 €",Urbano,Martin Wallace,120,Medio,"2, 3, 4",Español,"de 14 a 18 años, más de 18 años",https://zacatrus.es/brass-birmingham.html,"Brass: Birmingham es una reimplementación del juego original, Brass: Lancashire, en el que recrearás la historia de los emprendedores que compitieron en Birmingham y sus alrededores durante la Revolución Industrial de Inglaterra, entre los años 1770 y 1870. Construye tu imperio a través de canales y líneas de ferrocarril, fábricas algodoneras, minas de carbón, talleres, cervecerías, fundiciones de hierro y alfarerías."
Código secreto,Juegos de Tablero,Preu NO identificat,Temàtica NO identificada,Autors NO identificat/s,15,Dificultat NO identificada,"2, 3, 4, 5, 6, 7, 8",Español,"de 8 a 10 años, de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/codigo-secreto.html,"El jefe de la red de espías dice “Fiebre: 2”. ¿Sabrías encontrar las dos palabras relacionadas con “fiebre” que te harán ganar la partida? Los dos jefes de espías conocen la identidad secreta de cada agente, pero sus compañeros de equipo sólo conocen a los agentes por su nombre en clave. Los equipos competirán para ver quién consigue contactar primero con todos sus agentes. Cada jefe de espías dirá en su turno una pista compuesta por una sola palabra que puede referirse a varias de las palabras que hay en el tablero. Sus compañeros de equipo intentarán adivinar esas palabras evitando señalar las palabras del equipo rival. Y sin que nadie encuentre al asesino… La clave es: divertirse."
"Arkham Horror, 3ª edición: Noche cerrada",Juegos de Tablero,"29,95 €",Temàtica NO identificada,Autors NO identificat/s,180 min,Medio,"1, 2, 3, 4, 5, 6",Español,"de 14 a 18 años, más de 18 años",https://zacatrus.es/arkham-horror-3-edicion-noche-cerrada.html,"Arkham Horror, Noche Cerrada, amplía el jugo básico del Arkham Horror, duplicando el número de cartas de Encuentro y añadiendo nuevos escenarios e investigadores. De esta forma, podrás interactuar con la historia y con los habitantes de Arkham en su lucha para salvar la ciudad y el mundo de los horrores ancestrales que los amenazan."
Ratland,Juegos de Tablero,"26,96 €",Animales,Eduardo García,30 - 45 min,Medio,"2, 3, 4, 5, 6","Español, Inglés, Francés, Alemán","de 8 a 10 años, de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/ratland.html,Ratland es un juego divertidísimo en el que debemos distribuir en nuestra alcantarilla todas nuestras ratas para tratar de crecer lo máximo posible y garantizarnos la comida suficiente para alimentarlas (quesos).
Carnaval de Monstruos,Juegos de Tablero,"31,45 €",Espada y Brujería,Richard Garfield,45 min,Medio,"2, 3, 4, 5",Español,"de 14 a 18 años, más de 18 años",https://zacatrus.es/carnaval-de-monstruos.html,"Por fin, después de tres años de espera, llega a nuestro país Carnaval de Monstruos, el último juego de mesa de Richard Garfield, autor de Magic: The Gathering, el juego de cartas coleccionables más famoso del mundo."
Marvel Dice Masters: Civil War - sobres,Juegos de Tablero,"1,12 €",Temàtica NO identificada,Autors NO identificat/s,15,Dificultat NO identificada,2,Español,de 14 a 18 años,https://zacatrus.es/marvel-dice-masters-civil-war-sobres.html,"Cada turno se lanzarán los dados para poder comprar más, determinar tus recursos y desplegar tus miembros y así aniquilar a los enemigos"
Expansiópolis,Juegos de Tablero,"13,45 €",Urbano,"Danny Devine, Paul Kluka, Steven Aramini",15 min,Medio,"1, 2, 3, 4",Español,"de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años",https://zacatrus.es/expansiopolis.html,"En Expansiópolis tendrás que cooperar y colaborar con tus compañeros para lograr construir la metrópolis definitiva. No será fácil, porque los gobernantes son bastante exigentes y tendréis que cumplir unos requisitos muy estrictos. Además, se incluyen las 4 expansiones oficiales del juego."
Welcome Hacia el Perfecto Hogar,Juegos de Tablero,"21,55 €",Comercio,Benoit Turpin,25 min,Dificultat NO identificada,"1, 2, 3, 4, 5, 6, 7, 8, +8",Español,"de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/welcome-hacia-el-perfecto-hogar.html,"Transcurren los años 50. En pleno Baby Boom, te convertirás en arquitecto para tratar de ejecutar los proyectos más importantes de la ciudad.

Levanta las parcelas más atractivas en las tres calles que se asignen, construye lujosos parques y crea piscinas de ensueño.

En Welcome, todo el mundo juega al mismo tiempo con las mismas cartas, tratando de combinar de la forma más inteligente los números de sus casas con sus efectos...

¡Conviértete en e arquitecto más reputado!"
Terraforming Mars,Juegos de Tablero,"45,00 €",Ciencia Ficción,Jacob Fryxelius,90 - 120 min,Difícil,"1, 2, 3, 4, 5",Español,de 14 a 18 años,https://zacatrus.es/terraforming-mars.html,"Nos encontramos en el siglo 2400, cuando la humanidad empieza a terraformar el planeta Marte. Enormes corporaciones elaboran grandes proyectos para elevar la temperatura, los niveles de oxigeno y la cobertura del planeta por océanos hasta que el medio ambiente sea habitable. 

Tendrás que ponerte en la piel de una de esas corporaciones y tratar de lograr el proceso de terraformación, al mismo tiempo que mejoras la infraestructura humana a través del sistema solar."
Sushi Go,Juegos de Tablero,"9,18 €",Temàtica NO identificada,Autors NO identificat/s,15,Dificultat NO identificada,"2, 3, 4, 5",Español,"de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/catalog/product/view/id/8012/s/sushi-go/category/30/,-
Bunny Kingdom - Celestial,Juegos de Tablero,"26,99 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,Num. Jugadors NO identificat,Idioma NO identificat,Edat NO identificada,https://zacatrus.es/bunny-kingdom-celestial.html,"Los conejos también van al cielo, ¿lo sabías? Demostrado queda con la nueva expansión de Bunny Kingdom, en la que descubriremos nuevos edificios que dotan de mayor influencia, nuevos tipos de recursos, nuevas cartas y... ¡un nuevo tablero en las nubes! ¡Sube tus conejitos al cielo con la expansión Bunny Kingdom Celestial! Capacidad para un jugador más y muchas más novedades para mejorar tu experiencia en Conejilandia."
¡Galletas!,Juegos de Tablero,"12,50 €",Temàtica NO identificada,Autors NO identificat/s,10,Dificultat NO identificada,"2, 3, 4, 5",Español,"de 6 a 8 años, de 8 a 10 años, de 10 a 14 años",https://zacatrus.es/galletas.html,"Divertido y entretenido juego en el que los jugadores os convertiréis por unos momentos en unos agradables pero insaciables monstruitos. Vuestra pasión son las golosinas, y este deseo irrefrenable os llevará a enfrentaros a vuestros compañeros porque solo uno de vosotros podrás comerse un dulce y, además, ¡tendrá que ser el postre correcto! Ganará aquél que lo encuentre, antes de que se lo zampe otro monstruito goloso."
Monster Kit,Juegos de Tablero,"13,45 €",Temàtica NO identificada,Autors NO identificat/s,Temps de joc NO identificat,Dificultat NO identificada,"1, 2, 3, 4, 5, 6, 7, 8, +8",Español,"de 6 a 8 años, de 8 a 10 años, de 10 a 14 años, de 14 a 18 años",https://zacatrus.es/monster-kit.html,"Juego muy divertido para que pequeños y mayores puedan practicar sus habilidades creativas al mismo tiempo que disfrutan jugando. Podrán dibujar, leer, escribir, hacer cálculos..., y poner a prueba su imaginación creando simpáticos monstruos.

AUTOR GANADOR DEL PREMIO ""EL JUEGO EN LA ESCUELA"" 2015 Y ""EXPERIENCIA EDUCATIVA DEL AÑO"" 2014"
El Laberinto Mágico,Juegos de Tablero,"27,00 €",Temàtica NO identificada,Autors NO identificat/s,30',Medio,"2, 3, 4",Español,de 6 a 8 años,https://zacatrus.es/el-laberinto-magico.html,"¡Paf! ¡Ay! El pequeño mago se frota los ojos con sorpresa. ¿Hay un muro delante de él? Los aprendices de mago exploran con curiosidad el laberinto mágico. Hoy tienen una tarea importante que cumplir: ¡buscar los símbolos mágicos! Esto resultaría muy sencillo si no fuera porque los grandes magos siempre les están gastando bromas a los niños. Los caminos se van abriendo y cerrando, como por arte de magia...

El laberinto está formado por paredes invisibles que los pequeños no pueden atravesar. Por ello, para moverse deberán tener una buena memoria que les permita recordar cuáles son los caminos por los que se puede pasar.

Cada jugador intenta vencer al laberinto con su peón y ser el primero en conseguir cinco símbolos mágicos."
